question_id,respondent_id,timestamp,year,intent_id,intent,language,text
Q000044,1,2026-02-18 16:38:21.761,1,9,Database / SQL,Mixed,Database r framework ki?
Q000045,1,2026-02-18 16:38:21.761,1,9,Database / SQL,Bangla,ডাটাবেজ জানিনা কিভাবে শিখব?
Q000046,1,2026-02-18 16:38:21.761,1,10,Operating Systems (OS),English,What's OS?
Q000047,1,2026-02-18 16:38:21.761,1,10,Operating Systems (OS),English,Difference between FreeDOS and OS?
Q000048,1,2026-02-18 16:38:21.761,1,10,Operating Systems (OS),Mixed,Kivabe OS shikhbo?
Q000049,1,2026-02-18 16:38:21.761,1,10,Operating Systems (OS),Mixed,Kivabe nijer OS banabo?
Q000050,1,2026-02-18 16:38:21.761,1,10,Operating Systems (OS),Bangla,অপারেটিং সিস্টেম বানাতে গেলে কি কি মাথায় রাখতে হয়
Q000051,1,2026-02-18 16:38:21.761,1,11,Computer Networks,English,Is it under cyber security?
Q000052,1,2026-02-18 16:38:21.761,1,11,Computer Networks,English,Is it a must for a CSE student?
Q000053,1,2026-02-18 16:38:21.761,1,11,Computer Networks,Mixed,Eta ki ethical hacking er Jonno joruri?
Q000054,1,2026-02-18 16:38:21.761,1,11,Computer Networks,Mixed,Kivabe egula shikhbo?
Q000055,1,2026-02-18 16:38:21.761,1,11,Computer Networks,Bangla,নেটওয়ার্কিং কনসেপ্ট কোথা থেকে শিখলে ভালো হয়?
Q000056,1,2026-02-18 16:38:21.761,1,12,Web Development,English,Difference between frontend and backend?
Q000057,1,2026-02-18 16:38:21.761,1,12,Web Development,English,What's full stack development?
Q000058,1,2026-02-18 16:38:21.761,1,12,Web Development,Mixed,Kivabe eita pursue korbo?
Q000059,1,2026-02-18 16:38:21.761,1,12,Web Development,Mixed,Eta ki shikhtei hobe?
Q000060,1,2026-02-18 16:38:21.761,1,12,Web Development,Bangla,এটার কি কোন ভবিষ্যৎ আছে?
Q000061,1,2026-02-18 16:38:21.761,1,13,Software Engineering / SDLC,English,Difference between software engineer and software developer?
Q000062,1,2026-02-18 16:38:21.761,1,13,Software Engineering / SDLC,English,Difference between software engineering and computer science and engineering
Q000063,1,2026-02-18 16:38:21.761,1,13,Software Engineering / SDLC,Mixed,SDLC ki?
Q000064,1,2026-02-18 16:38:21.761,1,13,Software Engineering / SDLC,Mixed,Best path ta ki?
Q000065,1,2026-02-18 16:38:21.761,1,13,Software Engineering / SDLC,Bangla,কিভাবে শিখব?
Q000066,1,2026-02-18 16:38:21.761,1,14,Machine Learning / AI,English,what's machine learning?
Q000067,1,2026-02-18 16:38:21.761,1,14,Machine Learning / AI,English,What's Ai?
Q000068,1,2026-02-18 16:38:21.761,1,14,Machine Learning / AI,Mixed,Konta valo machine learning naki ai
Q000069,1,2026-02-18 16:38:21.761,1,14,Machine Learning / AI,Mixed,Kivabe shikhbo egula
Q000070,1,2026-02-18 16:38:21.761,1,14,Machine Learning / AI,Bangla,কোনটা ভবিষ্যৎ ভালো?
Q000071,1,2026-02-18 16:38:21.761,1,15,Cybersecurity,English,What's cyber security ?
Q000072,1,2026-02-18 16:38:21.761,1,15,Cybersecurity,English,How to pursue this path?
Q000073,1,2026-02-18 16:38:21.761,1,15,Cybersecurity,Mixed,Cyber security r computer networking ki alada?
Q000074,1,2026-02-18 16:38:21.761,1,15,Cybersecurity,Bangla,এথিকাল হ্যাকিং কি এটার অংশ?
Q000075,1,2026-02-18 16:38:21.761,1,16,Competitive Programming / Problem Solving,English,What is CP?
Q000076,1,2026-02-18 16:38:21.761,1,16,Competitive Programming / Problem Solving,English,What are the best platforms for CP?
Q000077,1,2026-02-18 16:38:21.761,1,16,Competitive Programming / Problem Solving,Mixed,What thought process should I follow?
Q000078,1,2026-02-18 16:38:21.761,1,16,Competitive Programming / Problem Solving,Mixed,Are contest important for future job?
Q000079,1,2026-02-18 16:38:21.761,1,16,Competitive Programming / Problem Solving,Bangla,সিপিতে কিভাবে ভালো করব?
Q000080,1,2026-02-18 16:38:21.761,1,17,Project Guidance / System Architecture,English,What's project guidance?
Q000081,1,2026-02-18 16:38:21.761,1,17,Project Guidance / System Architecture,English,What's System Architecture?
Q000082,1,2026-02-18 16:38:21.761,1,17,Project Guidance / System Architecture,Mixed,Egula ki academic er Jonno onek important?
Q000083,1,2026-02-18 16:38:21.761,1,17,Project Guidance / System Architecture,Mixed,Etar Jonno ki circuit er concept clear thaka Lage?
Q000084,1,2026-02-18 16:38:21.761,1,17,Project Guidance / System Architecture,Bangla,এটা কিভাবে শিখব?
Q000085,1,2026-02-18 16:38:21.761,1,18,Tooling / Environment Setup,English,What's Tooling?
Q000086,1,2026-02-18 16:38:21.761,1,18,Tooling / Environment Setup,English,Is environment variable and environment setup the same?
Q000087,1,2026-02-18 16:38:21.761,1,18,Tooling / Environment Setup,Mixed,Gitpush ki gurutto purno?
Q000088,1,2026-02-18 16:38:21.761,1,18,Tooling / Environment Setup,Mixed,Ide setup kivabe korbo?
Q000089,1,2026-02-18 16:38:21.761,1,18,Tooling / Environment Setup,Bangla,কোনটার আইডিই ভালো?
Q000090,1,2026-02-18 16:38:21.761,1,19,Career / Internship / Interview Prep,English,What path should I choose to secure a good internship?
Q000091,1,2026-02-18 16:38:21.761,1,19,Career / Internship / Interview Prep,English,How to search for internship?
Q000092,1,2026-02-18 16:38:21.761,1,19,Career / Internship / Interview Prep,Mixed,Online internship kivabe korbo?
Q000093,1,2026-02-18 16:38:21.761,1,19,Career / Internship / Interview Prep,Mixed,Student thaka obosthay kivabe internship korbo?
Q000094,1,2026-02-18 16:38:21.761,1,19,Career / Internship / Interview Prep,Bangla,কিভাবে সিভি তৈরি করব?
Q000095,1,2026-02-18 16:38:21.761,1,20,Exam / Assignment / Course Admin,English,What to focus on to do well in academic?
Q000096,1,2026-02-18 16:38:21.761,1,20,Exam / Assignment / Course Admin,English,Should I follow books to to well in exam?
Q000097,1,2026-02-18 16:38:21.761,1,20,Exam / Assignment / Course Admin,Mixed,Assignment kivabe likhbo?
Q000098,1,2026-02-18 16:38:21.761,1,20,Exam / Assignment / Course Admin,Mixed,Project bananor somoy kivabe cintay korbo?
Q000099,1,2026-02-18 16:38:21.761,1,20,Exam / Assignment / Course Admin,Bangla,কোন প্লাটফর্ম ভালো?
Q000100,2,2026-02-18 16:40:39.880,1,1,Debugging / Error Fixing,English,How to debug?
Q000101,2,2026-02-18 16:40:39.880,1,1,Debugging / Error Fixing,English,Is the process of debugging same in all Operating System?
Q000102,2,2026-02-18 16:40:39.880,1,1,Debugging / Error Fixing,Mixed,Debugging korle kon line e somossa kivabe bujhbo?
Q000103,2,2026-02-18 16:40:39.880,1,1,Debugging / Error Fixing,Mixed,code onek boro hole debugging kore ki sob somossa paoa zabe?
Q000104,2,2026-02-18 16:40:39.880,1,1,Debugging / Error Fixing,Bangla,"ডিবাগিং করে তো আমি লজিক্যাল ইরোর ধরতে পারব না তো, তাই না?"
Q000105,2,2026-02-18 16:40:39.880,1,2,How-to Implementation,English,How can I sort easily in python?
Q000106,2,2026-02-18 16:40:39.880,1,2,How-to Implementation,English,Will C++ consume less lines of code for printing pattern than python?
Q000107,2,2026-02-18 16:40:39.880,1,2,How-to Implementation,Mixed,kon language e code easy hobe lekhte? c naki c++?
Q000108,2,2026-02-18 16:40:39.880,1,2,How-to Implementation,Mixed,"c language e kono string e kono songkha kotobar ache, eta kivabe korbo?"
Q000109,2,2026-02-18 16:40:39.880,1,2,How-to Implementation,Bangla,স্ট্রিং এর মধ্যে সংখ্যা থাকলে সেটাকে কীভাবে অন্য কিছু দিয়ে যোগ করব?
Q000110,2,2026-02-18 16:40:39.880,1,3,Concept Explanation / Clarification,English,What is vector in Cpp?
Q000111,2,2026-02-18 16:40:39.880,1,3,Concept Explanation / Clarification,English,Is DSA very tough?
Q000112,2,2026-02-18 16:40:39.880,1,3,Concept Explanation / Clarification,Mixed,Recursion diye kono code korle easy hobe naki loop diye korle?
Q000113,2,2026-02-18 16:40:39.880,1,3,Concept Explanation / Clarification,Mixed,Amra file theke code e input kivabe nibo?
Q000114,2,2026-02-18 16:40:39.880,1,3,Concept Explanation / Clarification,Bangla,আমি ডাইনামিক্যালি কেন মেমোরি এলোকেট করব?
Q000115,2,2026-02-18 16:40:39.880,1,4,Algorithm Choice / Strategy,English,Why we should use DSA in our code?
Q000116,2,2026-02-18 16:40:39.880,1,4,Algorithm Choice / Strategy,English,Can't we do our code without any algorithms?
Q000117,2,2026-02-18 16:40:39.880,1,4,Algorithm Choice / Strategy,Mixed,Normal Algorithm ar DSA ki alada?
Q000118,2,2026-02-18 16:40:39.880,1,4,Algorithm Choice / Strategy,Mixed,DSA ki C diyeo kora jay?
Q000119,2,2026-02-18 16:40:39.880,1,4,Algorithm Choice / Strategy,Bangla,"আমি কি OOP আগে শিখব, নাকি DSA?"
Q000120,2,2026-02-18 16:40:39.880,1,5,Data Structures,English,Why Data Structure is important?
Q000121,2,2026-02-18 16:40:39.880,1,5,Data Structures,Bangla,"ডেটা স্ট্রাকচারের নামের সাথেই আছে ডেটা, তার মানে কি আমরা ডেটা নিয়েই কাজ করি এখানে?"
Q000122,2,2026-02-18 16:40:39.880,1,6,Time & Space Complexity,English,How to understand time complexity?
Q000123,2,2026-02-18 16:40:39.880,1,6,Time & Space Complexity,English,how to manage time complexity?
Q000124,2,2026-02-18 16:40:39.880,1,6,Time & Space Complexity,Mixed,infinte loop ki space complexity r udahoron?
Q000125,2,2026-02-18 16:40:39.880,1,6,Time & Space Complexity,Mixed,recursion e base case na thakle ki space complexity hoy?
Q000126,2,2026-02-18 16:40:39.880,1,7,Programming Language Syntax / Features,English,What is the syntax of loop in python?
Q000127,2,2026-02-18 16:40:39.880,1,7,Programming Language Syntax / Features,English,Why no header files are needed in python?
Q000128,2,2026-02-18 16:40:39.880,1,7,Programming Language Syntax / Features,Mixed,C++ language e C language er syntax keno kaj kore?
Q000129,2,2026-02-18 16:40:39.880,1,7,Programming Language Syntax / Features,Mixed,Java ar javascript er moddje parthokko ki?
Q000130,2,2026-02-18 16:40:39.880,1,7,Programming Language Syntax / Features,Bangla,"পাইথনে ""{}"" ব্যাবহার না কেন "":"" এটা ব্যাবহার করা হয়?"
Q000131,2,2026-02-18 16:40:39.880,1,8,Object-Oriented Programming (OOP),English,Is STL included in OOP?
Q000132,2,2026-02-18 16:40:39.880,1,9,Database / SQL,English,Why SQL is called the center of all?
Q000133,2,2026-02-18 16:40:39.880,1,9,Database / SQL,English,Is SQL used in Ethical / Unethical hacking?
Q000134,2,2026-02-18 16:40:39.880,1,9,Database / SQL,Mixed,SQL injection ki SQL er i jinis?
Q000135,2,2026-02-18 16:40:39.880,1,9,Database / SQL,Mixed,"C/C++ diye ja ja solve kora jay, SQL diyeo ki sob kora jay?"
Q000136,2,2026-02-18 16:40:39.880,1,9,Database / SQL,Bangla,আমি SQL শিখে কি কি করতে পারব?
Q000137,2,2026-02-18 16:40:39.880,1,10,Operating Systems (OS),English,Why Linux base OS is the best OS?
Q000138,2,2026-02-18 16:40:39.880,1,10,Operating Systems (OS),English,Why there are different types of linux distros?
Q000139,2,2026-02-18 16:40:39.880,1,10,Operating Systems (OS),Mixed,Linux keno windows er ceye secure?
Q000140,2,2026-02-18 16:40:39.880,1,10,Operating Systems (OS),Mixed,Windows diye keno ethical hacking kora jay na?
Q000141,2,2026-02-18 16:40:39.880,1,10,Operating Systems (OS),Bangla,MacOs কোন কার্নেলের ওপর বেইজ করে তৈরি?
Q000142,2,2026-02-18 16:40:39.880,1,11,Computer Networks,English,why https is safe and http is not?
Q000143,2,2026-02-18 16:40:39.880,1,11,Computer Networks,English,How can I understand the wifi I connected is safe?
Q000144,2,2026-02-18 16:40:39.880,1,11,Computer Networks,Mixed,"Ami internet e safe, eta ki asole kokhono somvob?"
Q000145,2,2026-02-18 16:40:39.880,1,11,Computer Networks,Mixed,"Facebook/whatsapp to cailei amader sob chats, calls dekhte pare, tahole amra ki asolei public property hoyr jacchi?"
Q000146,2,2026-02-18 16:40:39.880,1,11,Computer Networks,Bangla,Wireshark দিয়ে কি করে?
Q000147,2,2026-02-18 16:40:39.880,1,12,Web Development,English,Which language is the base of web development?
Q000148,2,2026-02-18 16:40:39.880,1,12,Web Development,English,How can I publish a website to all?
Q000149,2,2026-02-18 16:40:39.880,1,12,Web Development,Mixed,amra kon language use kori website ke sundor korte?
Q000150,2,2026-02-18 16:40:39.880,1,12,Web Development,Mixed,facebook/youtube er motO website banano ki khub tough?
Q000151,2,2026-02-18 16:40:39.880,1,12,Web Development,Bangla,CSS দিয়ে কি করে?
Q000152,2,2026-02-18 16:40:39.880,1,13,Software Engineering / SDLC,English,What is the actual duties of a software engineers in google?
Q000153,2,2026-02-18 16:40:39.880,1,13,Software Engineering / SDLC,English,How to become a software engineer?
Q000154,2,2026-02-18 16:40:39.880,1,13,Software Engineering / SDLC,Mixed,sob software engineer ra ki Operating System build korte pare?
Q000155,2,2026-02-18 16:40:39.880,1,13,Software Engineering / SDLC,Mixed,CSE porlei ki software engineer houa jay?
Q000156,2,2026-02-18 16:40:39.880,1,13,Software Engineering / SDLC,Bangla,C++ দিয়ে কি software লেখা যায়?
Q000157,2,2026-02-18 16:40:39.880,1,14,Machine Learning / AI,English,What machine learning actually is?
Q000158,2,2026-02-18 16:40:39.880,1,14,Machine Learning / AI,English,What is the difference between ML and LLM?
Q000159,3,2026-02-18 16:46:55.511,1,1,Debugging / Error Fixing,English,Why debugging is different from compiler run?
Q000160,3,2026-02-18 16:46:55.511,1,1,Debugging / Error Fixing,English,Why debugging is implement line by line?
Q000161,3,2026-02-18 16:46:55.511,1,1,Debugging / Error Fixing,Mixed,Debugging ki?
Q000162,3,2026-02-18 16:46:55.511,1,1,Debugging / Error Fixing,Mixed,Debugging kno dorkar?
Q000163,3,2026-02-18 16:46:55.511,1,1,Debugging / Error Fixing,Bangla,ডিবাগিং কিভাবে ভালভাবে শিখব?
Q000164,3,2026-02-18 16:46:55.511,1,2,How-to Implementation,English,I can think better but can not implement easily?
Q000165,3,2026-02-18 16:46:55.511,1,2,How-to Implementation,English,I can not understand sorting technique different language.
Q000166,3,2026-02-18 16:46:55.511,1,2,How-to Implementation,Mixed,Java script a kivabe logic build up korbo?
Q000167,3,2026-02-18 16:46:55.511,1,2,How-to Implementation,Mixed,Kivabe ekta online game develop korbo?
Q000168,3,2026-02-18 16:46:55.511,1,2,How-to Implementation,Bangla,সব ল্যংগুয়েজ এ আলাদা আলাদা ভাবে ইম্পলিমেন্ট করা হয় কেন?
Q000169,3,2026-02-18 16:46:55.511,1,3,Concept Explanation / Clarification,English,How can a student clarify his concept.?
Q000170,3,2026-02-18 16:46:55.511,1,3,Concept Explanation / Clarification,English,Why recursion function called itself again and again.?
Q000171,3,2026-02-18 16:46:55.511,1,3,Concept Explanation / Clarification,Mixed,Sorting korte amader sutro lage kno?
Q000172,3,2026-02-18 16:46:55.511,1,3,Concept Explanation / Clarification,Mixed,Sorting korte amader loop er use lage kno?
Q000173,3,2026-02-18 16:46:55.511,1,3,Concept Explanation / Clarification,Bangla,কন্সেপ্ট কি?
Q000174,3,2026-02-18 16:46:55.511,1,4,Algorithm Choice / Strategy,English,How can i find which algorithm is easy?
Q000175,3,2026-02-18 16:46:55.511,1,4,Algorithm Choice / Strategy,English,Why need algorithm to solve a problem?
Q000176,3,2026-02-18 16:46:55.511,1,4,Algorithm Choice / Strategy,Mixed,Kon problem er kon Strategy vlo kivabe janbo?
Q000177,3,2026-02-18 16:46:55.511,1,4,Algorithm Choice / Strategy,Mixed,Kon problem er kon Strategy vlo kothay theke janbo?
Q000178,3,2026-02-18 16:46:55.511,1,4,Algorithm Choice / Strategy,Bangla,এলগরিদম কেনো প্রয়োজনীয়?
Q000179,3,2026-02-18 16:46:55.511,1,5,Data Structures,English,What is DSA?
Q000180,3,2026-02-18 16:46:55.511,1,5,Data Structures,English,How can we know DSA?
Q000181,3,2026-02-18 16:46:55.511,1,5,Data Structures,Mixed,DSA na thakle ki ki somossa?
Q000182,3,2026-02-18 16:46:55.511,1,5,Data Structures,Mixed,DSA kivabe shikbo?
Q000183,3,2026-02-18 16:46:55.511,1,5,Data Structures,Bangla,ডিএসএ কিভাবে প্রোগ্রাম এ ব্যাবহার করতে হবে?
Q000184,3,2026-02-18 16:46:55.511,1,6,Time & Space Complexity,English,what is time complexity?
Q000185,3,2026-02-18 16:46:55.511,1,6,Time & Space Complexity,English,why time complexity is important?
Q000186,3,2026-02-18 16:46:55.511,1,6,Time & Space Complexity,Mixed,Time complexity kivabe manage korbo?
Q000187,3,2026-02-18 16:46:55.511,1,6,Time & Space Complexity,Mixed,Kno dorkar?
Q000188,3,2026-02-18 16:46:55.511,1,6,Time & Space Complexity,Bangla,কিভাবে কমাবো?
Q000189,3,2026-02-18 16:46:55.511,1,7,Programming Language Syntax / Features,English,what is syntax?
Q000190,3,2026-02-18 16:46:55.511,1,7,Programming Language Syntax / Features,English,Whay syntax is important for any Language Language?
Q000191,3,2026-02-18 16:46:55.511,1,7,Programming Language Syntax / Features,Mixed,Syntax error ki?
Q000192,3,2026-02-18 16:46:55.511,1,7,Programming Language Syntax / Features,Mixed,Syntax error kivabe komabo?
Q000193,3,2026-02-18 16:46:55.511,1,7,Programming Language Syntax / Features,Bangla,সব ল্যংগুয়েজ এর সিন্ট্যক্স জানি না?
Q000194,3,2026-02-18 16:46:55.511,1,8,Object-Oriented Programming (OOP),English,what os oop?
Q000195,3,2026-02-18 16:46:55.511,1,8,Object-Oriented Programming (OOP),English,Why oop is important?
Q000196,3,2026-02-18 16:46:55.511,1,8,Object-Oriented Programming (OOP),Mixed,Oop amra kothay kaje lagabo?
Q000197,3,2026-02-18 16:46:55.511,1,8,Object-Oriented Programming (OOP),Mixed,Oop diye ki ki korte pari?
Q000198,3,2026-02-18 16:46:55.511,1,8,Object-Oriented Programming (OOP),Bangla,oop দারা কিভাবে সহজ ভাবে সমস্যা সমাধান করা জায় জানি না
Q000199,3,2026-02-18 16:46:55.511,1,9,Database / SQL,English,what is SQL?
Q000200,3,2026-02-18 16:46:55.511,1,9,Database / SQL,English,Why SQL is important?
Q000201,3,2026-02-18 16:46:55.511,1,9,Database / SQL,Mixed,SQL bisoye kichu jani na ekhono?
Q000202,3,2026-02-18 16:46:55.511,1,10,Operating Systems (OS),English,what is OS?
Q000203,3,2026-02-18 16:46:55.511,1,10,Operating Systems (OS),English,Why OS is important?
Q000204,3,2026-02-18 16:46:55.511,1,10,Operating Systems (OS),Mixed,Onek dhoroner os kno ache?
Q000205,3,2026-02-18 16:46:55.511,1,10,Operating Systems (OS),Mixed,Ekta os diye sob kaj kora jay na kno?
Q000206,3,2026-02-18 16:46:55.511,1,10,Operating Systems (OS),Bangla,কালি লিনাক্স সবাই ব্যাবহার করে কেনো?
Q000207,3,2026-02-18 16:46:55.511,1,11,Computer Networks,English,what is computer Network?
Q000208,3,2026-02-18 16:46:55.511,1,11,Computer Networks,English,How can we connect a computer in another computer?
Q000209,3,2026-02-18 16:46:55.511,1,11,Computer Networks,Mixed,Computer network kno dorkar?
Q000210,3,2026-02-18 16:46:55.511,1,11,Computer Networks,Mixed,Computer network ki?
Q000211,3,2026-02-18 16:46:55.511,1,11,Computer Networks,Bangla,ককম্পিউটার নেটওয়ার্ক কি?
Q000212,3,2026-02-18 16:46:55.511,1,12,Web Development,English,what is web development?
Q000213,3,2026-02-18 16:46:55.511,1,12,Web Development,English,Why web development is important?
Q000214,3,2026-02-18 16:46:55.511,1,12,Web Development,Mixed,Web development buji na?
Q000215,3,2026-02-18 16:46:55.511,1,12,Web Development,Mixed,Web developer kibane taka earn kore?
Q000216,3,2026-02-18 16:46:55.511,1,12,Web Development,Bangla,Web development কি?
Q000217,3,2026-02-18 16:46:55.511,1,13,Software Engineering / SDLC,English,what is SDLC?
Q000218,3,2026-02-18 16:46:55.511,1,13,Software Engineering / SDLC,English,Why SE is important?
Q000219,3,2026-02-18 16:46:55.511,1,13,Software Engineering / SDLC,Mixed,SDLC bujhi na?
Q000220,3,2026-02-18 16:46:55.511,1,13,Software Engineering / SDLC,Mixed,Kivbae kaj kore jani na?
Q000221,3,2026-02-18 16:46:55.511,1,13,Software Engineering / SDLC,Bangla,কিভাবে কাজ করে জানি না?
Q000222,3,2026-02-18 16:46:55.511,1,14,Machine Learning / AI,English,what is human AI?
Q000223,3,2026-02-18 16:46:55.511,1,14,Machine Learning / AI,English,WhyAI is important?
Q000224,3,2026-02-18 16:46:55.511,1,14,Machine Learning / AI,Mixed,AI diye ki ki kora jay?
Q000225,3,2026-02-18 16:46:55.511,1,14,Machine Learning / AI,Mixed,Sob jaygay AI use kora hoy kno?
Q000226,3,2026-02-18 16:46:55.511,1,14,Machine Learning / AI,Bangla,AI পড়াশোনা কেন দরকার?
Q000227,3,2026-02-18 16:46:55.511,1,15,Cybersecurity,English,What is cyber security?
Q000228,3,2026-02-18 16:46:55.511,1,15,Cybersecurity,English,Why cyber security os important?
Q000229,3,2026-02-18 16:46:55.511,1,15,Cybersecurity,Mixed,Cyber security ki?
Q000230,3,2026-02-18 16:46:55.511,1,15,Cybersecurity,Mixed,Cyber security knowledge kno dorkar?
Q000231,3,2026-02-18 16:46:55.511,1,15,Cybersecurity,Bangla,cyber security কি ভাবে জানতে হবে?
Q000232,3,2026-02-18 16:46:55.511,1,16,Competitive Programming / Problem Solving,English,What is competitive programming?
Q000233,3,2026-02-18 16:46:55.511,1,16,Competitive Programming / Problem Solving,English,Why does my solution get TLE and how do I optimize it?”
Q000234,3,2026-02-18 16:46:55.511,1,16,Competitive Programming / Problem Solving,Mixed,Amar solution TLE hocche—optimize korar trick ki?
Q000235,3,2026-02-18 16:46:55.511,1,16,Competitive Programming / Problem Solving,Mixed,Kivabe problem solve suru korte hoy?
Q000236,3,2026-02-18 16:46:55.511,1,16,Competitive Programming / Problem Solving,Bangla,কোথায় problem solve suru korte hoy?
Q000237,3,2026-02-18 16:46:55.511,1,17,Project Guidance / System Architecture,English,What is project guidance?
Q000238,3,2026-02-18 16:46:55.511,1,17,Project Guidance / System Architecture,English,How should I design the modules for a final-year project?”
Q000239,3,2026-02-18 16:46:55.511,1,17,Project Guidance / System Architecture,Mixed,Final year project er architecture kivabe design korbo
Q000240,3,2026-02-18 16:46:55.511,1,17,Project Guidance / System Architecture,Mixed,Project guidance ki?
Q000241,3,2026-02-18 16:46:55.511,1,17,Project Guidance / System Architecture,Bangla,Project guidance কি?
Q000242,3,2026-02-18 16:46:55.511,1,18,Tooling / Environment Setup,English,How do I fix ‘pip is not recognized’ on Windows?”
Q000243,3,2026-02-18 16:46:55.511,1,18,Tooling / Environment Setup,English,what is tooling
